[log] 运行日志写入: log\run_ACM_20260714_095128.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=153, loss=8.2477, con=7.4658, intent=2.2795, rec=0.0084, this epoch 186.7662, total 23369.3320
(T) | Epoch=154, loss=8.2683, con=7.4878, intent=2.2751, rec=0.0088, this epoch 177.3016, total 23546.6336
(T) | Epoch=155, loss=8.2033, con=7.4220, intent=2.2749, rec=0.0089, this epoch 170.9520, total 23717.5856
(T) | Epoch=156, loss=8.1267, con=7.3439, intent=2.2780, rec=0.0096, this epoch 164.0346, total 23881.6203
(T) | Epoch=157, loss=8.0961, con=7.3127, intent=2.2816, rec=0.0111, this epoch 172.6879, total 24054.3082
(T) | Epoch=158, loss=8.0895, con=7.3077, intent=2.2811, rec=0.0125, this epoch 177.5441, total 24231.8523
(T) | Epoch=159, loss=8.0892, con=7.3077, intent=2.2855, rec=0.0150, this epoch 164.8959, total 24396.7482
(T) | Epoch=160, loss=8.1078, con=7.3288, intent=2.2829, rec=0.0159, this epoch 167.6443, total 24564.3925  alpha=[pap:0.913, psp:0.087]
(T) | Epoch=161, loss=8.1583, con=7.3824, intent=2.2808, rec=0.0174, this epoch 153.9245, total 24718.3170
(T) | Epoch=162, loss=8.1972, con=7.4241, intent=2.2766, rec=0.0170, this epoch 177.1143, total 24895.4313
(T) | Epoch=163, loss=8.1856, con=7.4130, intent=2.2758, rec=0.0177, this epoch 150.7404, total 25046.1717
(T) | Epoch=164, loss=8.1093, con=7.3370, intent=2.2741, rec=0.0182, this epoch 176.6285, total 25222.8002
(T) | Epoch=165, loss=8.0134, con=7.2409, intent=2.2747, rec=0.0171, this epoch 173.7744, total 25396.5746
(T) | Epoch=166, loss=7.9947, con=7.2240, intent=2.2751, rec=0.0160, this epoch 176.8643, total 25573.4389
(T) | Epoch=167, loss=8.0851, con=7.3187, intent=2.2737, rec=0.0144, this epoch 172.7104, total 25746.1493
(T) | Epoch=168, loss=8.1809, con=7.4181, intent=2.2735, rec=0.0114, this epoch 201.7789, total 25947.9282
(T) | Epoch=169, loss=8.2012, con=7.4397, intent=2.2738, rec=0.0118, this epoch 206.7526, total 26154.6808
(T) | Epoch=170, loss=8.1417, con=7.3805, intent=2.2719, rec=0.0107, this epoch 190.6297, total 26345.3105  alpha=[pap:0.886, psp:0.114]
(T) | Epoch=171, loss=8.0551, con=7.2928, intent=2.2718, rec=0.0123, this epoch 176.5530, total 26521.8635
(T) | Epoch=172, loss=7.9992, con=7.2365, intent=2.2701, rec=0.0146, this epoch 183.6162, total 26705.4797
(T) | Epoch=173, loss=7.9896, con=7.2269, intent=2.2696, rec=0.0126, this epoch 159.5225, total 26865.0022
(T) | Epoch=174, loss=8.0109, con=7.2480, intent=2.2692, rec=0.0144, this epoch 195.6211, total 27060.6233
(T) | Epoch=175, loss=8.0528, con=7.2898, intent=2.2688, rec=0.0135, this epoch 186.2753, total 27246.8986
(T) | Epoch=176, loss=8.0853, con=7.3203, intent=2.2704, rec=0.0149, this epoch 167.9318, total 27414.8304
(T) | Epoch=177, loss=8.0579, con=7.2902, intent=2.2691, rec=0.0117, this epoch 169.7319, total 27584.5624
(T) | Epoch=178, loss=7.9694, con=7.1962, intent=2.2685, rec=0.0132, this epoch 201.6280, total 27786.1904
(T) | Epoch=179, loss=7.8981, con=7.1201, intent=2.2675, rec=0.0110, this epoch 214.1086, total 28000.2989
(T) | Epoch=180, loss=7.9322, con=7.1501, intent=2.2703, rec=0.0117, this epoch 192.1596, total 28192.4586  alpha=[pap:0.894, psp:0.106]
(T) | Epoch=181, loss=7.9902, con=7.2065, intent=2.2715, rec=0.0110, this epoch 200.8332, total 28393.2918
(T) | Epoch=182, loss=7.9672, con=7.1837, intent=2.2688, rec=0.0104, this epoch 209.3634, total 28602.6552
(T) | Epoch=183, loss=7.9076, con=7.1241, intent=2.2683, rec=0.0111, this epoch 180.1267, total 28782.7820
(T) | Epoch=184, loss=7.9717, con=7.1906, intent=2.2681, rec=0.0092, this epoch 194.0870, total 28976.8690
(T) | Epoch=185, loss=8.1327, con=7.3557, intent=2.2670, rec=0.0093, this epoch 175.8507, total 29152.7197
(T) | Epoch=186, loss=8.2051, con=7.4308, intent=2.2665, rec=0.0099, this epoch 183.3569, total 29336.0766
(T) | Epoch=187, loss=8.1274, con=7.3528, intent=2.2661, rec=0.0113, this epoch 203.4715, total 29539.5481
(T) | Epoch=188, loss=7.9685, con=7.1926, intent=2.2657, rec=0.0097, this epoch 214.4454, total 29753.9935
(T) | Epoch=189, loss=7.9202, con=7.1436, intent=2.2664, rec=0.0121, this epoch 185.8146, total 29939.8081
(T) | Epoch=190, loss=8.0260, con=7.2519, intent=2.2653, rec=0.0128, this epoch 180.2304, total 30120.0385  alpha=[pap:0.900, psp:0.100]
(T) | Epoch=191, loss=8.1307, con=7.3590, intent=2.2653, rec=0.0123, this epoch 179.5443, total 30299.5828
(T) | Epoch=192, loss=8.1598, con=7.3902, intent=2.2655, rec=0.0131, this epoch 187.7887, total 30487.3716
(T) | Epoch=193, loss=8.1419, con=7.3731, intent=2.2674, rec=0.0128, this epoch 191.6880, total 30679.0595
(T) | Epoch=194, loss=8.1300, con=7.3631, intent=2.2656, rec=0.0128, this epoch 192.0988, total 30871.1583
(T) | Epoch=195, loss=8.1507, con=7.3852, intent=2.2659, rec=0.0123, this epoch 186.0248, total 31057.1831
(T) | Epoch=196, loss=8.1670, con=7.4025, intent=2.2652, rec=0.0130, this epoch 194.9112, total 31252.0943
(T) | Epoch=197, loss=8.1371, con=7.3722, intent=2.2648, rec=0.0114, this epoch 173.9767, total 31426.0711
(T) | Epoch=198, loss=8.0538, con=7.2869, intent=2.2645, rec=0.0106, this epoch 177.9932, total 31604.0642
(T) | Epoch=199, loss=7.9569, con=7.1876, intent=2.2639, rec=0.0108, this epoch 164.4886, total 31768.5528
(T) | Epoch=200, loss=7.9079, con=7.1375, intent=2.2639, rec=0.0112, this epoch 173.8434, total 31942.3962  alpha=[pap:0.911, psp:0.089]
[AC] 训练 Actor-Critic 对抗图生成器 (100 轮)...
